,词频,发音,词性,原型
短歌,4,タンカ,名詞,短歌
バシッ,4,バシッ,副詞,バシッ
かけあっ,4,カケアッ,動詞,かけあう
もじもじ,4,モジモジ,副詞,もじもじ
ポジ,4,ポジ,名詞,ポジ
不用,4,フヨウ,名詞,不用
サハラ,4,サハラ,名詞,サハラ
販売,4,ハンバイ,名詞,販売
ぴたり,4,ピタリ,副詞,ぴたり
構想,4,コウソウ,名詞,構想
パラソル,4,パラソル,名詞,パラソル
もる,4,モル,動詞,もる
導けよ,4,ミチビケヨ,動詞,導ける
乗り込め,4,ノリコメ,動詞,乗り込める
囲も,4,カコモ,動詞,囲む
フェリーボート,4,フェリーボート,名詞,フェリーボート
巴,4,トモエ,名詞,巴
銀河系,4,ギンガケイ,名詞,銀河系
酢,4,ス,名詞,酢
しどろもどろ,4,シドロモドロ,名詞,しどろもどろ
エクスプレス,4,エクスプレス,名詞,エクスプレス
オリオン,4,オリオン,名詞,オリオン
下し,4,オロシ,名詞,下し
宮崎,4,ミヤザキ,名詞,宮崎
巡り合い,4,メグリアイ,名詞,巡り合い
持ち運び,4,モチハコビ,名詞,持ち運び
糠味噌,4,ヌカミソ,名詞,糠味噌
つぶら,4,ツブラ,動詞,つぶる
あらかじめ,4,アラカジメ,副詞,あらかじめ
むなしく,4,ムナシク,形容詞,むなしい
鳴け,4,ナケ,動詞,鳴ける
灼か,4,ヤカ,動詞,灼く
危なく,4,アブナク,形容詞,危ない
寂寂,4,セキセキ,名詞,寂寂
泣きつか,4,ナキツカ,動詞,泣きつく
出来合い,4,デキアイ,名詞,出来合い
白き,4,シロキ,形容詞,白い
駆け回る,4,カケマワル,動詞,駆け回る
飛礫,4,ツブテ,名詞,飛礫
篤と,4,トクト,副詞,篤と
譲り合う,4,ユズリアウ,動詞,譲り合う
喋ん,4,シャベン,動詞,喋る
差分,4,サブン,名詞,差分
ヌードル,4,ヌードル,名詞,ヌードル
麦畑,4,ムギバタケ,名詞,麦畑
単調,4,タンチョウ,名詞,単調
けろ,4,ケロ,動詞,ける
不可欠,4,フカケツ,名詞,不可欠
らっか,4,ラッカ,名詞,らっか
滔々,4,トウトウ,名詞,滔々
有り余っ,4,アリアマッ,動詞,有り余る
再来年,4,サライネン,名詞,再来年
致命傷,4,チメイショウ,名詞,致命傷
同胞,4,ドウホウ,名詞,同胞
ばつ,4,バツ,名詞,ばつ
はじか,4,ハジカ,動詞,はじく
キング,4,キング,名詞,キング
済まさ,4,スマサ,動詞,済ます
エロス,4,エロス,名詞,エロス
遡行,4,ソコウ,名詞,遡行
築き,4,キズキ,動詞,築く
けとばし,4,ケトバシ,動詞,けとばす
情事,4,ジョウジ,名詞,情事
よそよそしく,4,ヨソヨソシク,形容詞,よそよそしい
にごり,4,ニゴリ,動詞,にごる
膝小僧,4,ヒザコゾウ,名詞,膝小僧
麗しき,4,ウルワシキ,形容詞,麗しい
ツリー,4,ツリー,名詞,ツリー
酌,4,シャク,名詞,酌
こわがっ,4,コワガッ,動詞,こわがる
鉄拳,4,テッケン,名詞,鉄拳
集る,4,タカル,動詞,集る
献身,4,ケンシン,名詞,献身
またも,4,マタモ,副詞,またも
着こ,4,ツコ,動詞,着く
自虐,4,ジギャク,名詞,自虐
庇う,4,カバウ,動詞,庇う
薄志弱行,4,ハクシジャッコウ,名詞,薄志弱行
ぶら下がる,4,ブラサガル,動詞,ぶら下がる
孕ま,4,ハラマ,動詞,孕む
もえ,4,モエ,動詞,もえる
空く,4,スク,動詞,空く
呆け,4,ボケ,名詞,呆け
極悪,4,ゴクアク,名詞,極悪
跨っ,4,マタガッ,動詞,跨る
搾り,4,シボリ,動詞,搾る
カブトムシ,4,カブトムシ,名詞,カブトムシ
罪深き,4,ツミブカキ,形容詞,罪深い
波打ち,4,ナミウチ,動詞,波打つ
虚脱,4,キョダツ,名詞,虚脱
決着,4,ケッチャク,名詞,決着
卑劣,4,ヒレツ,名詞,卑劣
洗いたて,4,アライタテ,名詞,洗いたて
國,4,クニ,名詞,國
対し,4,タイシ,動詞,対す
逃げん,4,ニゲン,動詞,逃げる
周到,4,シュウトウ,名詞,周到
ひと時,4,ヒトトキ,名詞,ひと時
白波,4,シラナミ,名詞,白波
万言,4,マンゲン,名詞,万言
解ん,4,ワカン,動詞,解る
肖像,4,ショウゾウ,名詞,肖像
かたっ,4,カタッ,動詞,かたる
押し倒し,4,オシタオシ,動詞,押し倒す
安価,4,アンカ,名詞,安価
澱む,4,ヨドム,動詞,澱む
でかけ,4,デカケ,動詞,でかける
うちのめさ,4,ウチノメサ,動詞,うちのめす
翔び,4,トビ,動詞,翔ぶ
イバラ,4,イバラ,名詞,イバラ
乱雑,4,ランザツ,名詞,乱雑
柚,4,ユズ,名詞,柚
孔,4,アナ,名詞,孔
柚子,4,ユズ,名詞,柚子
ほた,4,ホタ,名詞,ほた
ガラガラ,4,ガラガラ,名詞,ガラガラ
消え入り,4,キエイリ,動詞,消え入る
容易,4,ヨウイ,名詞,容易
かけろ,4,カケロ,動詞,かける
むや,4,ムヤ,名詞,むや
けなさ,4,ケナサ,動詞,けなす
天道,4,テントウ,名詞,天道
カエル,4,カエル,名詞,カエル
九十九里浜,4,クジュウクリハマ,名詞,九十九里浜
けっして,4,ケッシテ,副詞,けっして
問いただす,4,トイタダス,動詞,問いただす
エル,4,エル,名詞,エル
報せる,4,シラセル,動詞,報せる
鷲,4,ワシ,名詞,鷲
フタ,4,フタ,名詞,フタ
うっとり,4,ウットリ,副詞,うっとり
投資,4,トウシ,名詞,投資
無いものねだり,4,ナイモノネダリ,名詞,無いものねだり
僻地,4,ヘキチ,名詞,僻地
諧謔,4,カイギャク,名詞,諧謔
皹,4,ヒビ,名詞,皹
喜ば,4,ヨロコバ,動詞,喜ぶ
関わら,4,カカワラ,動詞,関わる
しんど,4,シンド,形容詞,しんどい
不吉,4,フキツ,名詞,不吉
開示,4,カイジ,名詞,開示
酔っぱらい,4,ヨッパライ,名詞,酔っぱらい
もしや,4,モシヤ,副詞,もしや
衰弱,4,スイジャク,名詞,衰弱
努,4,ツトム,名詞,努
改造,4,カイゾウ,名詞,改造
攻勢,4,コウセイ,名詞,攻勢
綿密,4,メンミツ,名詞,綿密
電光,4,デンコウ,名詞,電光
はう,4,ハウ,動詞,はう
そこのけ,4,ソコノケ,名詞,そこのけ
並外れ,4,ナミハズレ,動詞,並外れる
甲羅,4,コウラ,名詞,甲羅
つまびく,4,ツマビク,動詞,つまびく
かえら,4,カエラ,動詞,かえる
県,4,ケン,名詞,県
くるおしい,4,クルオシイ,形容詞,くるおしい
二日酔い,4,フツカヨイ,名詞,二日酔い
座席,4,ザセキ,名詞,座席
生かせる,4,イカセル,動詞,生かせる
そりゃあ,4,ソリャア,名詞,そりゃあ
きどっ,4,キドッ,動詞,きどる
追いやっ,4,オイヤッ,動詞,追いやる
未遂,4,ミスイ,名詞,未遂
見知り,4,ミシリ,名詞,見知り
桜餅,4,サクラモチ,名詞,桜餅
遠目,4,トオメ,名詞,遠目
うつり,4,ウツリ,動詞,うつる
会長,4,カイチョウ,名詞,会長
生真面目,4,キマジメ,名詞,生真面目
サスペンス,4,サスペンス,名詞,サスペンス
頬ずり,4,ホオズリ,名詞,頬ずり
構える,4,カマエル,動詞,構える
正因,4,マサヨリ,名詞,正因
浮き彫り,4,ウキボリ,名詞,浮き彫り
和ん,4,ナゴン,動詞,和む
沸かせ,4,ワカセ,動詞,沸かす
フォーカス,4,フォーカス,名詞,フォーカス
さがっ,4,サガッ,動詞,さがる
褐色,4,カッショク,名詞,褐色
棲み,4,スミ,動詞,棲む
なかせ,4,ナカセ,動詞,なかせる
コスト,4,コスト,名詞,コスト
警鐘,4,ケイショウ,名詞,警鐘
放出,4,ホウシュツ,名詞,放出
財務,4,ザイム,名詞,財務
票,4,ヒョウ,名詞,票
企業,4,キギョウ,名詞,企業
ですが,4,デスガ,接続詞,ですが
飲み干そ,4,ノミホソ,動詞,飲み干す
装,4,ソウ,名詞,装
天神,4,テンジン,名詞,天神
ファンシー,4,ファンシー,名詞,ファンシー
はさ,4,ハサ,名詞,はさ
経路,4,ケイロ,名詞,経路
ひびい,4,ヒビイ,動詞,ひびく
びき,4,ビキ,名詞,びき
威張ん,4,イバン,動詞,威張る
澱ん,4,ヨドン,動詞,澱む
白亜,4,ハクア,名詞,白亜
どうどう,4,ドウドウ,副詞,どうどう
跨が,4,マタガ,動詞,跨ぐ
言いあっ,4,イイアッ,動詞,言いあう
トレス,4,トレス,名詞,トレス
かき氷,4,カキゴオリ,名詞,かき氷
剥く,4,ムク,動詞,剥く
忍ばせ,4,シノバセ,動詞,忍ばせる
公害,4,コウガイ,名詞,公害
なめ,4,ナメ,動詞,なめる
不公平,4,フコウヘイ,名詞,不公平
周期,4,シュウキ,名詞,周期
御行,4,オンコウ,名詞,御行
本編,4,ホンペン,名詞,本編
デリバリー,4,デリバリー,名詞,デリバリー
帝都,4,テイト,名詞,帝都
ワイヤ,4,ワイヤ,名詞,ワイヤ
競い,4,キソイ,動詞,競う
ステ,4,ステ,名詞,ステ
所々,4,トコロドコロ,名詞,所々
ハンマー,4,ハンマー,名詞,ハンマー
でかく,4,デカク,形容詞,でかい
かぶれ,4,カブレ,動詞,かぶれる
スカーレット,4,スカーレット,名詞,スカーレット
シーク,4,シーク,名詞,シーク
伝播,4,デンパ,名詞,伝播
つめたく,4,ツメタク,形容詞,つめたい
貧弱,4,ヒンジャク,名詞,貧弱
見下す,4,ミクダス,動詞,見下す
変貌,4,ヘンボウ,名詞,変貌
なめらか,4,ナメラカ,名詞,なめらか
方正,4,ホウセイ,名詞,方正
奉仕,4,ホウシ,名詞,奉仕
称す,4,ショウス,動詞,称す
冷え冷え,4,ヒエビエ,名詞,冷え冷え
ラボ,4,ラボ,名詞,ラボ
組織,4,ソシキ,名詞,組織
おばさん,4,オバサン,名詞,おばさん
ふせ,4,フセ,動詞,ふせる
破天荒,4,ハテンコウ,名詞,破天荒
噛み分け,4,カミワケ,動詞,噛み分ける
不遇,4,フグウ,名詞,不遇
プログラミング,4,プログラミング,名詞,プログラミング
吾輩,4,ワガハイ,名詞,吾輩
あみ,4,アミ,名詞,あみ
摩擦,4,マサツ,名詞,摩擦
げんき,4,ゲンキ,名詞,げんき
いとおし,4,イトオシ,形容詞,いとおしい
紺色,4,コンイロ,名詞,紺色
遠慮なく,4,エンリョナク,形容詞,遠慮ない
畔,4,ホトリ,名詞,畔
つかまえる,4,ツカマエル,動詞,つかまえる
爆笑,4,バクショウ,名詞,爆笑
たき,4,タキ,名詞,たき
囲み,4,カコミ,動詞,囲む
語り継が,4,カタリツガ,動詞,語り継ぐ
一拍,4,イッパク,名詞,一拍
葬儀,4,ソウギ,名詞,葬儀
ぽたり,4,ポタリ,副詞,ぽたり
焦がせ,4,コガセ,動詞,焦がす
おなご,4,オナゴ,名詞,おなご
ふきとばし,4,フキトバシ,動詞,ふきとばす
真珠貝,4,シンジュガイ,名詞,真珠貝
遣い,4,ヅカイ,名詞,遣い
聡志,4,サトシ,名詞,聡志
医,4,イ,名詞,医
ねたま,4,ネタマ,動詞,ねたむ
掃き,4,ハキ,動詞,掃く
武部,4,タケベ,名詞,武部
彩れ,4,イロドレ,動詞,彩れる
ペア,4,ペア,名詞,ペア
降り積る,4,フリツモル,動詞,降り積る
果たそ,4,ハタソ,動詞,果たす
批評,4,ヒヒョウ,名詞,批評
奢っ,4,オゴッ,動詞,奢る
インド,4,インド,名詞,インド
締める,4,シメル,動詞,締める
顕示,4,ケンジ,名詞,顕示
売買,4,バイバイ,名詞,売買
バリ,4,バリ,名詞,バリ
かげろ,4,カゲロ,動詞,かげる
正せ,4,タダセ,動詞,正せる
吐きだし,4,ハキダシ,動詞,吐きだす
すがり付い,4,スガリツイ,動詞,すがり付く
待ち人,4,マチビト,名詞,待ち人
機内,4,キナイ,名詞,機内
カッター,4,カッター,名詞,カッター
裁け,4,サバケ,動詞,裁ける
すすり泣い,4,ススリナイ,動詞,すすり泣く
誤,4,アヤマ,動詞,誤る
芳しい,4,カンバシイ,形容詞,芳しい
待てる,4,マテル,動詞,待てる
流出,4,リュウシュツ,名詞,流出
めでたき,4,メデタキ,形容詞,めでたい
使い慣れ,4,ツカイナレ,動詞,使い慣れる
沸く,4,ワク,動詞,沸く
めしあがれ,4,メシアガレ,動詞,めしあがる
後方,4,コウホウ,名詞,後方
さてと,4,サテト,感動詞,さてと
北東,4,ホクトウ,名詞,北東
惜し,4,オシ,形容詞,惜しい
辿,4,タド,動詞,辿る
極まれ,4,キワマレ,動詞,極まる
昂っ,4,タカブッ,動詞,昂る
囲め,4,カコメ,動詞,囲める
忘れろ,4,ワスレロ,動詞,忘れる
蝕み,4,ムシバミ,動詞,蝕む
比況,4,ヒキョウ,名詞,比況
手取り,4,テドリ,名詞,手取り
コロン,4,コロン,名詞,コロン
公生,4,キミオ,名詞,公生
唐草,4,カラクサ,名詞,唐草
ふらつき,4,フラツキ,動詞,ふらつく
ウケる,4,ウケル,動詞,ウケる
ドール,4,ドール,名詞,ドール
尊大,4,ソンダイ,名詞,尊大
探せる,4,サガセル,動詞,探せる
カシオペア,4,カシオペア,名詞,カシオペア
脱ぎ捨てろ,4,ヌギステロ,動詞,脱ぎ捨てる
彩ろ,4,イロドロ,動詞,彩る
とぎれとぎれ,4,トギレトギレ,名詞,とぎれとぎれ
にぎやか,4,ニギヤカ,名詞,にぎやか
跨,4,マタガ,動詞,跨る
丸腰,4,マルゴシ,名詞,丸腰
大笑い,4,オオワライ,名詞,大笑い
しかる,4,シカル,動詞,しかる
踏ん張る,4,フンバル,動詞,踏ん張る
乞い,4,コイ,名詞,乞い
かじり,4,カジリ,動詞,かじる
単細胞,4,タンサイボウ,名詞,単細胞
炙ろ,4,アブロ,動詞,炙る
蜜柑色,4,ミカンイロ,名詞,蜜柑色
言いなさ,4,イイナサ,動詞,言いなす
宇治,4,ウジ,名詞,宇治
品行,4,ヒンコウ,名詞,品行
猪口,4,チョコ,名詞,猪口
干物,4,ホシモノ,名詞,干物
水玉,4,ミズタマ,名詞,水玉
モール,4,モール,名詞,モール
蕪,4,カブラ,名詞,蕪
鉄塔,4,テットウ,名詞,鉄塔
へそ曲がり,4,ヘソマガリ,名詞,へそ曲がり
喧喧囂囂,4,ケンケンゴウゴウ,名詞,喧喧囂囂
跳ねろ,4,ハネロ,動詞,跳ねる
噛み付か,4,カミツカ,動詞,噛み付く
累々,4,ルイルイ,名詞,累々
卑し,4,イヤシ,形容詞,卑しい
オブ,4,オブ,名詞,オブ
象り,4,カタドリ,動詞,象る
逃げ込める,4,ニゲコメル,動詞,逃げ込める
しようが,4,シヨウガ,名詞,しようが
暗けれ,4,クラケレ,形容詞,暗い
偏愛,4,ヘンアイ,名詞,偏愛
塗り替えろ,4,ヌリカエロ,動詞,塗り替える
急所,4,キュウショ,名詞,急所
畜生,4,チクショウ,名詞,畜生
見棄て,4,ミステ,動詞,見棄てる
ヤロー,4,ヤロー,名詞,ヤロー
ださ,4,ダサ,動詞,だす
あんぽんたん,4,アンポンタン,名詞,あんぽんたん
満悦,4,マンエツ,名詞,満悦
身支度,4,ミジタク,名詞,身支度
からめる,4,カラメル,動詞,からめる
開こ,4,ヒラコ,動詞,開く
手術,4,シュジュツ,名詞,手術
インストール,4,インストール,名詞,インストール
どれどれ,4,ドレドレ,感動詞,どれどれ
織り上げ,4,オリアゲ,動詞,織り上げる
眼前,4,ガンゼン,名詞,眼前
逍遥,4,ショウヨウ,名詞,逍遥
焦げ付い,4,コゲツイ,動詞,焦げ付く
出合え,4,デアエ,動詞,出合える
おす,4,オス,感動詞,おす
小樽,4,オタル,名詞,小樽
済ま,4,スマ,動詞,済む
起し,4,オコシ,動詞,起す
ベージュ,4,ベージュ,名詞,ベージュ
射さ,4,ササ,動詞,射す
背筋,4,セスジ,名詞,背筋
きなこ,4,キナコ,名詞,きなこ
哀歌,4,アイカ,名詞,哀歌
キビ,4,キビ,名詞,キビ
思いつきゃ,4,オモイツキャ,動詞,思いつく
どろんこ,4,ドロンコ,名詞,どろんこ
にらめっこ,4,ニラメッコ,名詞,にらめっこ
太刀,4,タチ,名詞,太刀
往け,4,ユケ,動詞,往ける
すっごく,4,スッゴク,形容詞,すっごい
福音,4,フクイン,名詞,福音
簾,4,スダレ,名詞,簾
録画,4,ロクガ,名詞,録画
なおざり,4,ナオザリ,名詞,なおざり
解き方,4,トキカタ,名詞,解き方
たいがい,4,タイガイ,名詞,たいがい
あそん,4,アソン,動詞,あそぶ
おっきな,4,オッキナ,連体詞,おっきな
煮,4,ニ,動詞,煮る
なのん,4,ナノン,動詞,なのる
カニ,4,カニ,名詞,カニ
繚乱,4,リョウラン,名詞,繚乱
うば,4,ウバ,名詞,うば
にあわ,4,ニアワ,動詞,にあう
真直ぐ,4,マッスグ,副詞,真直ぐ
よえ,4,ヨエ,動詞,よえる
スズ,4,スズ,名詞,スズ
あざ笑う,4,アザワラウ,動詞,あざ笑う
弥生,4,ヤヨイ,名詞,弥生
文様,4,モンヨウ,名詞,文様
ぽつぽつ,4,ポツポツ,副詞,ぽつぽつ
決断,4,ケツダン,名詞,決断
おだ,4,オダ,名詞,おだ
飛び回る,4,トビマワル,動詞,飛び回る
駆け出そ,4,カケダソ,動詞,駆け出す
いろり,4,イロリ,名詞,いろり
ステッキ,4,ステッキ,名詞,ステッキ
割り切る,4,ワリキル,動詞,割り切る
骸骨,4,ガイコツ,名詞,骸骨
蝉しぐれ,4,セミシグレ,名詞,蝉しぐれ
カブ,4,カブ,名詞,カブ
建っ,4,タッ,動詞,建つ
ラメ,4,ラメ,名詞,ラメ
嗜み,4,タシナミ,名詞,嗜み
直ぐに,4,スグニ,副詞,直ぐに
ついて行こ,4,ツイテイコ,動詞,ついて行く
椰子,4,ヤシ,名詞,椰子
ぷかぷか,4,プカプカ,副詞,ぷかぷか
こびり付い,4,コビリツイ,動詞,こびり付く
中手,4,ナカテ,名詞,中手
あやかり,4,アヤカリ,動詞,あやかる
うとうと,4,ウトウト,副詞,うとうと
閉め切っ,4,シメキッ,動詞,閉め切る
葬れ,4,ホウムレ,動詞,葬れる
平静,4,ヘイセイ,名詞,平静
りんり,4,リンリ,名詞,りんり
儀,4,ギ,名詞,儀
古ぼけ,4,フルボケ,動詞,古ぼける
赤黒く,4,アカグロク,形容詞,赤黒い
さわが,4,サワガ,動詞,さわぐ
うも,4,ウモ,動詞,うむ
如月,4,キサラギ,名詞,如月
挺,4,テイ,名詞,挺
一角,4,イッカク,名詞,一角
揺ぎ,4,ユルギ,名詞,揺ぎ
揺らが,4,ユラガ,動詞,揺らぐ
宿ら,4,ヤドラ,動詞,宿る
キスマーク,4,キスマーク,名詞,キスマーク
予知,4,ヨチ,名詞,予知
何だかんだ,4,ナンダカンダ,副詞,何だかんだ
コンボ,4,コンボ,名詞,コンボ
あらー,4,アラー,感動詞,あらー
達観,4,タッカン,名詞,達観
蒼空,4,ソウクウ,名詞,蒼空
まとめる,4,マトメル,動詞,まとめる
